Season,Round,home_EOL,away_EOL,home_result
2019,5,73,69,0
2019,5,72,90,-1
2019,5,66,67,1
2019,5,65,70,0
2019,5,90,65,1
2019,5,62,76,1
2019,5,85,89,1
2019,6,67,90,0
2019,6,90,66,1
2019,6,67,65,1
2019,6,76,66,1
2019,6,89,73,1
2019,6,70,60,-1
2019,6,77,71,0
2019,6,69,85,-1
2019,6,65,62,1
2019,7,66,70,0
2019,7,60,67,1
2019,7,65,69,0
2019,7,71,67,1
2019,7,73,77,-1
2019,7,85,77,0
2019,7,66,65,1
2019,7,90,90,1
2019,7,62,89,1
2019,8,63,61,-1
2019,8,76,84,0
2019,8,64,54,-1
2019,8,75,66,1
2019,8,68,90,1
2019,8,65,71,1
2019,8,65,70,-1
2019,8,90,63,1
2019,8,88,64,1
2019,9,90,66,-1
2019,9,60,67,0
2019,9,71,90,-1
2019,9,64,76,0
2019,9,63,65,-1
2019,9,55,88,-1
2019,9,84,70,1
2019,9,75,62,0
2019,9,66,64,-1
2019,10,65,61,1
2019,10,70,63,1
2019,10,67,64,0
2019,10,64,75,1
2019,10,62,71,1
2019,10,90,84,1
2019,10,76,55,1
2019,10,65,90,-1
2019,10,87,66,1
2019,11,55,68,-1
2019,11,70,70,-1
2019,11,89,64,1
2019,11,84,66,1
2019,11,61,64,1
2019,11,64,62,-1
2019,11,66,77,-1
2019,11,65,90,-1
2019,11,75,87,-1
2019,12,90,61,1
2019,12,68,66,1
2019,12,65,84,-1
2019,12,70,89,-1
2019,12,62,65,0
2019,12,66,55,-1
2019,12,77,75,1
2019,12,87,64,1
2019,12,63,70,0
2019,13,61,70,1
2019,13,84,63,1
2019,13,66,66,-1
2019,13,65,65,1
2019,13,65,77,0
2019,13,55,90,-1
2019,13,75,68,0
2019,13,70,89,-1
2019,13,87,62,1
2019,14,70,55,-1
2019,14,65,70,1
2019,14,63,61,-1
2019,14,68,65,1
2019,14,66,65,1
2019,14,62,66,1
2019,14,90,75,1
2019,14,89,84,1
2019,14,77,87,1
2019,15,55,65,-1
2019,15,62,77,1
2019,15,65,70,1
2019,15,84,69,1
