Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,7,eerste_divisie,18,38,1,2,2,9,6,0,6,0,12,12,3.0,0,6,0,12,12,10,6,0,6,0,12,12,3.0,0,6,0,12,12,3.0,3.0,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,7,eerste_divisie,18,38,0,5,1,7,18,6,0,0,30,6,9.0,6,0,0,30,6,17,0,0,0,6,6,30,0.0,0,0,6,6,30,9.0,0.0,,
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,7,eerste_divisie,18,38,0,2,0,3,18,6,0,0,12,0,9.0,6,0,0,12,0,12,0,0,0,6,0,12,0.0,0,0,6,0,12,9.0,0.0,,
Emmen,PEC Zwolle,0-1,https://www.besoccer.com/match/emmen/fc-zwolle/2005101534,2005,7,eerste_divisie,18,38,2,0,1,18,0,0,0,6,0,6,0.0,0,0,6,0,6,1,18,6,0,0,6,0,9.0,6,0,0,6,0,0.0,9.0,,
Go Ahead Eagles,BV Veendam ,0-1,https://www.besoccer.com/match/go-ahead-eagles/veendam/2005101535,2005,7,eerste_divisie,18,38,2,0,1,13,0,0,0,6,0,6,0.0,0,0,6,0,6,5,18,6,0,0,6,0,9.0,6,0,0,6,0,0.0,9.0,,
Fortuna Sittard,AGOVV Apeldoorn,3-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/2005101536,2005,7,eerste_divisie,18,38,0,3,1,8,18,6,0,0,18,6,9.0,6,0,0,18,6,15,0,0,0,6,6,18,0.0,0,0,6,6,18,9.0,0.0,,
FC Volendam,Cambuur,4-0,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/2005101537,2005,7,eerste_divisie,18,38,0,4,0,4,18,6,0,0,24,0,9.0,6,0,0,24,0,16,0,0,0,6,0,24,0.0,0,0,6,0,24,9.0,0.0,,
Excelsior,FC Eindhoven,2-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2005101529,2005,8,eerste_divisie,18,38,0,2,1,6,21,7,0,0,14,7,9.0,7,0,0,14,7,14,0,0,0,7,7,14,0.0,0,0,7,7,14,9.0,0.0,,
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,8,eerste_divisie,18,38,0,1,0,2,21,7,0,0,7,0,9.0,7,0,0,7,0,11,0,0,0,7,0,7,0.0,0,0,7,0,7,9.0,0.0,,
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,8,eerste_divisie,18,38,1,2,2,10,7,0,7,0,14,14,3.0,0,7,0,14,14,9,7,0,7,0,14,14,3.0,0,7,0,14,14,3.0,3.0,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,8,eerste_divisie,18,38,0,5,1,7,21,7,0,0,35,7,9.0,7,0,0,35,7,17,0,0,0,7,7,35,0.0,0,0,7,7,35,9.0,0.0,,
HFC Haarlem ,MVV Maastricht,2-0,https://www.besoccer.com/match/haarlem/mvv/2005101533,2005,8,eerste_divisie,18,38,0,2,0,3,21,7,0,0,14,0,9.0,7,0,0,14,0,12,0,0,0,7,0,14,0.0,0,0,7,0,14,9.0,0.0,,
Emmen,PEC Zwolle,0-1,https://www.besoccer.com/match/emmen/fc-zwolle/2005101534,2005,8,eerste_divisie,18,38,2,0,1,18,0,0,0,7,0,7,0.0,0,0,7,0,7,1,21,7,0,0,7,0,9.0,7,0,0,7,0,0.0,9.0,,
Go Ahead Eagles,BV Veendam ,0-1,https://www.besoccer.com/match/go-ahead-eagles/veendam/2005101535,2005,8,eerste_divisie,18,38,2,0,1,13,0,0,0,7,0,7,0.0,0,0,7,0,7,5,21,7,0,0,7,0,9.0,7,0,0,7,0,0.0,9.0,,
Fortuna Sittard,AGOVV Apeldoorn,3-1,https://www.besoccer.com/match/fortuna-sittard/agovv-apeldoorn/2005101536,2005,8,eerste_divisie,18,38,0,3,1,8,21,7,0,0,21,7,9.0,7,0,0,21,7,15,0,0,0,7,7,21,0.0,0,0,7,7,21,9.0,0.0,,
FC Volendam,Cambuur,4-0,https://www.besoccer.com/match/fc-volendam/sc-cambuur-leeuwarden/2005101537,2005,8,eerste_divisie,18,38,0,4,0,4,21,7,0,0,28,0,9.0,7,0,0,28,0,16,0,0,0,7,0,28,0.0,0,0,7,0,28,9.0,0.0,,
Excelsior,FC Eindhoven,2-1,https://www.besoccer.com/match/excelsior/fc-eindhoven/2005101529,2005,9,eerste_divisie,18,38,0,2,1,6,24,8,0,0,16,8,9.0,8,0,0,16,8,14,0,0,0,8,8,16,0.0,0,0,8,8,16,9.0,0.0,,
Heracles,SC Telstar,1-0,https://www.besoccer.com/match/heracles/stormvogels-telstar/2005101530,2005,9,eerste_divisie,18,38,0,1,0,2,24,8,0,0,8,0,9.0,8,0,0,8,0,11,0,0,0,8,0,8,0.0,0,0,8,0,8,9.0,0.0,,
Helmond Sport,Sparta Rotterdam,2-2,https://www.besoccer.com/match/helmond-sport/sparta-rotterdam/2005101531,2005,9,eerste_divisie,18,38,1,2,2,9,8,0,8,0,16,16,3.0,0,8,0,16,16,10,8,0,8,0,16,16,3.0,0,8,0,16,16,3.0,3.0,,
TOP Oss,Dordrecht,5-1,https://www.besoccer.com/match/fc-oss/fc-dordrecht/2005101532,2005,9,eerste_divisie,18,38,0,5,1,7,24,8,0,0,40,8,9.0,8,0,0,40,8,17,0,0,0,8,8,40,0.0,0,0,8,8,40,9.0,0.0,,
