Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Eintracht Frankfurt,Köln,2-2,https://www.besoccer.com/match/eintracht-frankfurt/1-fc-koln/20099155,2009,19,bundesliga,18,34,1,2,2,13,19,5,4,9,24,31,2.4,3,2,3,14,10,11,23,7,2,9,20,26,3.4000000000000004,4,0,5,12,14,6.0,4.2,75.0,73.0
Wolfsburg,VfL Bochum,2-0,https://www.besoccer.com/match/wolfsburg/bochum/20099156,2009,19,bundesliga,18,34,0,2,0,8,27,7,6,5,36,26,3.8,7,1,0,23,6,15,14,2,8,8,21,30,3.4,0,4,4,6,14,9.0,1.6,81.0,74.0
B. Leverkusen,Stuttgart,2-4,https://www.besoccer.com/match/bayer-leverkusen/stuttgart/20099157,2009,19,bundesliga,18,34,2,2,4,5,33,10,3,5,37,22,3.5999999999999996,5,1,3,18,10,7,28,8,4,6,28,23,6.8,2,2,4,10,14,4.6,3.6,84.0,83.0
B. Mönchengladbach,Hoffenheim,1-1,https://www.besoccer.com/match/borussia-monchengla/tsg-1899-hoffenheim/20099158,2009,19,bundesliga,18,34,1,1,1,18,11,3,2,13,18,37,0.0,2,1,6,11,18,1,38,12,2,4,44,23,5.6000000000000005,4,0,4,21,17,1.2000000000000002,4.200000000000001,71.0,62.0
Karlsruher SC,Hamburger SV,3-2,https://www.besoccer.com/match/karlsruher-sc/hamburger-sv/20099160,2009,19,bundesliga,18,34,0,3,2,16,13,4,1,13,15,34,1.7999999999999998,3,1,4,7,11,3,36,11,3,4,27,24,8.2,3,2,4,12,18,3.6,3.8,67.0,84.0
Bayern München,B. Dortmund,3-1,https://www.besoccer.com/match/bayern-munchen/borussia-dortmund/20099152,2009,19,bundesliga,18,34,0,3,1,4,35,10,5,3,39,25,4.4,5,2,1,24,16,6,30,7,9,2,28,20,5.0,4,2,2,11,11,8.600000000000001,4.800000000000001,94.0,80.0
Energie Cottbus,Hannover 96,3-1,https://www.besoccer.com/match/energie-cottbus/hannover-96/20099153,2009,19,bundesliga,18,34,0,3,1,17,13,3,4,11,12,31,2.0,1,1,6,5,15,12,20,5,5,8,21,32,5.0,0,1,7,3,21,2.4000000000000004,0.2,71.0,76.0
Hoffenheim,B. Leverkusen,1-4,https://www.besoccer.com/match/tsg-1899-hoffenheim/bayer-leverkusen/20099168,2009,20,bundesliga,18,34,2,1,4,1,39,12,3,4,45,24,4.6000000000000005,8,2,0,23,6,5,33,10,3,6,39,26,2.6000000000000005,5,2,2,19,12,7.4,4.4,62.0,84.0
Hannover 96,Stuttgart,3-3,https://www.besoccer.com/match/hannover-96/stuttgart/20099162,2009,20,bundesliga,18,34,1,3,3,12,20,5,5,9,22,35,3.6000000000000005,5,4,1,18,11,6,31,9,4,6,32,25,7.800000000000001,3,2,4,14,16,6.6,5.800000000000001,75.0,84.0
Hertha BSC,Bayern München,2-1,https://www.besoccer.com/match/hertha-bsc/bayern-munchen/20099163,2009,20,bundesliga,18,34,0,2,1,3,37,11,4,4,30,22,5.800000000000001,7,2,1,19,8,2,38,11,5,3,42,26,5.4,5,3,2,15,9,9.0,3.5999999999999996,80.0,94.0
Werder Bremen,B. Mönchengladbach,1-1,https://www.besoccer.com/match/werder-bremen/borussia-monchengla/20099164,2009,20,bundesliga,18,34,1,1,1,10,26,7,5,7,40,31,2.4,6,2,2,28,15,18,12,3,3,13,19,38,1.0,1,1,7,7,19,6.0,1.2000000000000002,87.0,71.0
