,Home_Team,Away_Team,Result,Link,Season,Round,League,reduced_link,Date_New,Referee,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Categorical Result
67,Cardiff City,AFC Bournemouth,1-1,https://www.besoccer.com/match/cardiff-city-fc/afc-bournemouth/202175663,2021,6,championship,/match/cardiff-city-fc/afc-bournemouth/2021,"Wednesday, 21 October 2020, 20:45", Hooper S.,2,0,0,0,Draw
68,Queens Park Rangers,Preston North End,0-2,https://www.besoccer.com/match/queens-park-rangers-fc/preston-north-end/202175665,2021,6,championship,/match/queens-park-rangers-fc/preston-north-end/2021,"Wednesday, 21 October 2020, 20:45", Friend K.,0,0,1,0,Away Win
69,Sheffield Wednesday,Brentford,1-2,https://www.besoccer.com/match/sheffield-wednesday-fc/brentford/202175666,2021,6,championship,/match/sheffield-wednesday-fc/brentford/2021,"Wednesday, 21 October 2020, 20:45", Bond D.,1,0,0,0,Away Win
70,Watford,Blackburn Rovers,3-1,https://www.besoccer.com/match/watford-fc/blackburn-rovers-fc/202175667,2021,6,championship,/match/watford-fc/blackburn-rovers-fc/2021,"Wednesday, 21 October 2020, 20:45", Woolmer A.,3,0,0,0,Home Win
71,Stoke City,Barnsley,2-2,https://www.besoccer.com/match/stoke-city/barnsley-fc/202175668,2021,6,championship,/match/stoke-city/barnsley-fc/2021,"Wednesday, 21 October 2020, 20:45", Salisbury G.,0,1,0,0,Draw
72,Nottingham Forest,Derby County,1-1,https://www.besoccer.com/match/nottingham-forest-fc/derby-county-fc/202175675,2021,7,championship,/match/nottingham-forest-fc/derby-county-fc/2021,"Friday, 23 October 2020, 20:45", Harrington T.,2,0,0,0,Draw
73,Watford,AFC Bournemouth,1-1,https://www.besoccer.com/match/watford-fc/afc-bournemouth/202175680,2021,7,championship,/match/watford-fc/afc-bournemouth/2021,"Saturday, 24 October 2020, 13:30", Robinson T.,3,0,2,0,Draw
74,Bristol City,Swansea City,1-1,https://www.besoccer.com/match/bristol-city-fc/swansea-city-afc/202175669,2021,7,championship,/match/bristol-city-fc/swansea-city-afc/2021,"Saturday, 24 October 2020, 16:00", Langford O.,1,0,5,0,Draw
75,Cardiff City,Middlesbrough,1-1,https://www.besoccer.com/match/cardiff-city-fc/middlesbrough-fc/202175670,2021,7,championship,/match/cardiff-city-fc/middlesbrough-fc/2021,"Saturday, 24 October 2020, 16:00", Brooks J.,1,0,0,0,Draw
76,Coventry City,Blackburn Rovers,0-4,https://www.besoccer.com/match/coventry-city/blackburn-rovers-fc/202175671,2021,7,championship,/match/coventry-city/blackburn-rovers-fc/2021,"Saturday, 24 October 2020, 16:00", England D.,1,1,2,0,Away Win
77,Huddersfield Town,Preston North End,1-2,https://www.besoccer.com/match/huddersfield-town-fc/preston-north-end/202175672,2021,7,championship,/match/huddersfield-town-fc/preston-north-end/2021,"Saturday, 24 October 2020, 16:00", Smith J.,3,1,5,0,Away Win
78,Millwall,Barnsley,1-1,https://www.besoccer.com/match/millwall-fc/barnsley-fc/202175673,2021,7,championship,/match/millwall-fc/barnsley-fc/2021,"Saturday, 24 October 2020, 16:00", Davies A.,0,0,2,0,Draw
79,Norwich City,Wycombe Wanderers,2-1,https://www.besoccer.com/match/norwich-city-fc/wycombe-wanderers/202175674,2021,7,championship,/match/norwich-city-fc/wycombe-wanderers/2021,"Saturday, 24 October 2020, 16:00", Ward G.,1,1,1,0,Home Win
80,Queens Park Rangers,Birmingham City,0-0,https://www.besoccer.com/match/queens-park-rangers-fc/birmingham-city-fc/202175676,2021,7,championship,/match/queens-park-rangers-fc/birmingham-city-fc/2021,"Saturday, 24 October 2020, 16:00", Hooper S.,1,0,0,0,Draw
81,Reading,Rotherham United,3-0,https://www.besoccer.com/match/reading-fc/rotherham-united/202175677,2021,7,championship,/match/reading-fc/rotherham-united/2021,"Saturday, 24 October 2020, 16:00", Donohue M.,0,0,2,0,Home Win
82,Sheffield Wednesday,Luton Town,0-1,https://www.besoccer.com/match/sheffield-wednesday-fc/luton-town-fc/202175678,2021,7,championship,/match/sheffield-wednesday-fc/luton-town-fc/2021,"Saturday, 24 October 2020, 16:00", Eltringham G.,1,1,1,0,Away Win
83,Stoke City,Brentford,3-2,https://www.besoccer.com/match/stoke-city/brentford/202175679,2021,7,championship,/match/stoke-city/brentford/2021,"Saturday, 24 October 2020, 16:00", Stroud K.,2,0,1,0,Home Win
84,Barnsley,Queens Park Rangers,3-0,https://www.besoccer.com/match/barnsley-fc/queens-park-rangers-fc/202175681,2021,8,championship,/match/barnsley-fc/queens-park-rangers-fc/2021,"Tuesday, 27 October 2020, 20:00", Davies A.,0,0,0,1,Home Win
